company_name,website,company_type,product_category,business_email,business_phone,whatsapp,contact_person,designation,product_fit_score,import_activity_score,company_size_score,market_relevance_score,recent_activity_score,decision_maker_score,total_score,lead_bucket,buyer_probability,import_probability,product_relevance,company_size,market_relevance,recent_activity,decision_maker_status,qualification_status,qualification_error,reason,recommended_action,evidence,sales_priority
Официальный дилер завода керамической плитки TUBADZIN,https://tubadzin.ru/,DISTRIBUTOR,Porcelain & Ceramic Tiles,mail@tubadzin.ru,+7 800 707-98-80,+7 985 765-98-19,NOT_FOUND,NOT_FOUND,25.0,0.0,0.0,15.0,7.0,0.0,47,POTENTIAL,HIGH,UNKNOWN,HIGH,UNKNOWN,HIGH,MEDIUM,NOT_FOUND,QUALIFIED,NOT_FOUND,"The company is an official dealer of a tile manufacturer, indicating a distributor role and strong relevance to porcelain/ceramic tiles and the Russian market. The active website confirms recent activity, and the presence of contact details suggests buying intent, though no import activity or size information is available.","Contact via the provided email or WhatsApp to confirm interest, gather buying requirements, and identify the appropriate decision maker.",Website active and identified as Официальный дилер завода керамической плитки TUBADZIN (official dealer of TUBADZIN tile factory) with tile and Russia relevance; Business email listed: mail@tubadzin.ru; Decision maker information not found,🟡 Research
Estima,https://estima.ru,MANUFACTURER,Porcelain & Ceramic Tiles,logistikkursk@skvirel-group.ru,+7 495 775-60-40,NOT_FOUND,NOT_FOUND,NOT_FOUND,25.0,5.0,0.0,15.0,10.0,0.0,55,POTENTIAL,LOW,LOW,HIGH,UNKNOWN,HIGH,HIGH,NOT_FOUND,QUALIFIED,NOT_FOUND,"Estima is identified as a tile manufacturer in Russia, matching product and market relevance. As a manufacturer, it is unlikely to be a buyer of imported tiles, resulting in low buyer and import probability. No size data is available, and no decision‑maker details were found, but the active website indicates recent activity.","Log an informational note and consider a low‑priority outreach to explore possible distribution or partnership opportunities, but focus higher‑probability buyer leads first.",Website active (https://estima.ru) and page title confirms tile manufacturer; Tile Relevant Flag: YES; Russia Relevant Flag: YES; Business email listed: logistikkursk@skvirel-group.ru; Business phone listed: 74957756040; Decision Maker information not found,🟡 Research
Tile Oliva Ceramic Buy in Moscow,https://www.lineceramic.ru/en/hand-made-ceramic-tiles/oliva-tile-clone/?srsltid=afmboooo80_vftst8kpqspiob3u9m94drgfp5ybkf1fvk0uy8pl-0zmh,RETAILER,Porcelain & Ceramic Tiles,sales@lineceramic.ru,+7 904 355-88-00,NOT_FOUND,General Director,CEO / General Director,25.0,0.0,0.0,15.0,10.0,10.0,60,POTENTIAL,HIGH,UNKNOWN,HIGH,UNKNOWN,HIGH,HIGH,FOUND,QUALIFIED,NOT_FOUND,"The company operates an active e‑commerce site selling ceramic tiles in Moscow, matching both tile and Russian market relevance. The presence of a CEO/General Director indicates a clear decision‑maker, and the product focus suggests a high likelihood of purchasing tiles. No evidence about importing activities or company size was found.",Reach out to the General Director via the provided email to discuss tile import opportunities and assess partnership potential.,Website https://www.lineceramic.ru/en/hand-made-ceramic-tiles/oliva-tile-clone/ is active and shows tile products relevant to Russia; Tile Relevant Flag: YES and Russia Relevant Flag: YES indicate strong market fit; Business email sales@lineceramic.ru and phone 79043558800 provided; Decision Maker listed as General Director (CEO),🟡 Research
Laparet: керамическая плитка и керамогранит от ...,https://laparet.ru/,MANUFACTURER,Porcelain & Ceramic Tiles,info@laparet.ru,+7 800 550-78-99,NOT_FOUND,NOT_FOUND,NOT_FOUND,25.0,0.0,0.0,15.0,0.0,0.0,40,POTENTIAL,UNKNOWN,UNKNOWN,HIGH,UNKNOWN,HIGH,UNKNOWN,NOT_FOUND,QUALIFIED,NOT_FOUND,"The company’s website and page title identify it as a tile manufacturer in Russia, giving high product and market relevance. However, there is no evidence of purchasing intent, import activity, company size, or recent engagements, and no decision‑maker contact is available, leading to unknown buyer/import probabilities and low lead priority.",Monitor the prospect for any future buying signals but assign low priority for outreach,"Page title states ""Laparet: керамическая плитка и керамогранит от производителя"", indicating a manufacturer; Tile Relevant Flag: YES; Russia Relevant Flag: YES; Website Status: ACTIVE; Business Email provided: info@laparet.ru; Decision Maker information: NOT_FOUND",🟡 Research
Cersanit Russia,https://cersanit.ru,MANUFACTURER,Porcelain & Ceramic Tiles,report@cersanit.ru,+7 915 060-20-36,NOT_FOUND,NOT_FOUND,NOT_FOUND,25.0,0.0,0.0,15.0,0.0,0.0,40,POTENTIAL,UNKNOWN,UNKNOWN,HIGH,UNKNOWN,HIGH,UNKNOWN,NOT_FOUND,QUALIFIED,NOT_FOUND,"The company runs an active website that brands itself as a manufacturer of ceramic tiles and related products in Russia, confirming high product and market relevance. No information is available regarding its purchasing behavior, import needs, size, or recent business activity, and no decision‑maker details are found.",MONITOR_FOR_POTENTIAL_PARTNERSHIP_OR_INQUIRY,Official website (https://cersanit.ru) identified as the official site of a ceramic tile and sanitaryware manufacturer in Russia; Tile Relevant Flag: YES; Russia Relevant Flag: YES; Business email provided: report@cersanit.ru; Verification note confirms active site with matching tile and Russian relevance keywords,🟡 Research
ТЕССЕР (Tesser),https://tesser.ru,UNKNOWN,Porcelain & Ceramic Tiles,info@tesser.ru,+7 495 411-99-77,NOT_FOUND,NOT_FOUND,NOT_FOUND,25.0,0.0,0.0,15.0,0.0,0.0,40,POTENTIAL,MEDIUM,UNKNOWN,HIGH,UNKNOWN,HIGH,UNKNOWN,NOT_FOUND,QUALIFIED,NOT_FOUND,"The company’s website is active and explicitly flagged as relevant to tiles and the Russian market, indicating high product and market relevance. No clear information about the company's role (importer, distributor, etc.) or size is provided, and there is no evidence of recent activity or a identified decision‑maker, so those fields remain UNKNOWN or NOT_FOUND. Buyer likelihood is assessed as medium given the tile relevance, while import likelihood cannot be determined.","Initiate outreach via the provided email/phone to gather more details about their role, size, and decision‑maker, then re‑evaluate qualification.",Website https://tesser.ru is active; Tile Relevant Flag: YES; Russia Relevant Flag: YES; Business Email: info@tesser.ru; Business Phone: 74954119977,🟡 Research
Gracia Ceramica,https://graciaceramica.com,UNKNOWN,Porcelain & Ceramic Tiles,info@graciaceramica.com,+7 863 626-94-56,NOT_FOUND,NOT_FOUND,NOT_FOUND,25.0,0.0,0.0,15.0,0.0,0.0,40,POTENTIAL,UNKNOWN,UNKNOWN,HIGH,UNKNOWN,HIGH,UNKNOWN,NOT_FOUND,QUALIFIED,NOT_FOUND,"The company operates a live website focused on ceramic tiles and targets the Russian market, making its product and market relevance high. However, there is no information on company type, size, buying intent, import activity, recent engagements, or decision‑maker contacts, leading to unknown classifications for those attributes.","Research further to identify decision makers, determine company size and buying intent, and assess import potential before proceeding with outreach.","Website https://graciaceramica.com is active and its title includes tile‑related keywords (Керамическая плитка и керамогранит), confirming tile relevance; Russia relevant flag set to YES, indicating geographic relevance; Business email info@graciaceramica.com listed on site; Business phone 78636269456.0 listed; Decision Maker field marked NOT_FOUND",🟡 Research
Creto,https://creto.ru,UNKNOWN,Porcelain & Ceramic Tiles,shop@creto.ru,+7 495 085-82-20,NOT_FOUND,NOT_FOUND,NOT_FOUND,25.0,0.0,0.0,15.0,10.0,0.0,50,POTENTIAL,MEDIUM,UNKNOWN,HIGH,UNKNOWN,HIGH,HIGH,NOT_FOUND,QUALIFIED,NOT_FOUND,"The site is active, clearly focused on tiles and targets the Russian market, indicating high product and market relevance. No explicit information about company type, size, import activity, or decision‑maker contacts is available, so those fields remain UNKNOWN or NOT_FOUND. Recent activity is high due to the active website.",Conduct further research to identify decision‑maker contacts and verify import intentions before outreach.,Website active (https://creto.ru) with tile relevance flag YES; Russia relevance flag YES; Business email shop@creto.ru; Business phone 74950858220.0; Decision maker NOT_FOUND,🟡 Research
Керамогранит оптом от производителя купить в Санкт ...,https://www.c-s-g.ru/keramogranit/sankt-peterburg,MANUFACTURER,Porcelain & Ceramic Tiles,granite-tile@c-s-g.ru,+7 499 702-70-04,NOT_FOUND,NOT_FOUND,NOT_FOUND,25.0,0.0,0.0,15.0,7.0,0.0,47,POTENTIAL,LOW,UNKNOWN,HIGH,UNKNOWN,HIGH,MEDIUM,NOT_FOUND,QUALIFIED,NOT_FOUND,"The company appears to be a tile manufacturer offering wholesale porcelain tiles in Russia, making it highly relevant to our product line and market, but there is no indication they are a buyer of imported tiles, and no decision‑maker contact is available. Size and import intent cannot be determined from the available data.",LOW_PRIORITY,"Website active (https://www.c-s-g.ru/keramogranit/sankt-peterburg); Page title indicates ""Керамогранит оптом от производителя"" (wholesale from manufacturer); Tile Relevant Flag: YES; Russia Relevant Flag: YES; Business email provided (granite-tile@c-s-g.ru); Business phone provided (74997027004)",🟡 Research
Onetouch Ceramica,https://onetouchceramica.ru,UNKNOWN,Porcelain & Ceramic Tiles,onetouchceramica@mail.ru,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,25.0,0.0,0.0,15.0,0.0,0.0,40,POTENTIAL,UNKNOWN,UNKNOWN,HIGH,UNKNOWN,HIGH,UNKNOWN,NOT_FOUND,QUALIFIED,NOT_FOUND,"The company’s website is active and clearly focuses on tiles in the Russian market, giving a high product and market relevance. No information is available about the company’s type, size, buying intent, import activity, or recent engagements, and no decision‑maker contact was identified. Therefore most classifications remain UNKNOWN or NOT_FOUND.",Conduct further research to determine the company’s role (importer/distributor/retailer) and locate decision‑maker contacts before outreach.,"Website active with tile and Russian relevance keywords (Page Title: One Touch, Site status: ACTIVE); Tile Relevant Flag: YES; Russia Relevant Flag: YES; Business Email found: onetouchceramica@mail.ru; Decision Maker: NOT_FOUND",🟡 Research
Top-Grade Ceramic and Porcelain Tile Solutions for Russia,https://faceimpex.com/globally-presenting/top-grade-ceramic-and-porcelain-tile-solutions-for-russia/,UNKNOWN,Porcelain & Ceramic Tiles,info@faceimpex.com,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,25.0,0.0,0.0,15.0,10.0,0.0,50,POTENTIAL,HIGH,UNKNOWN,HIGH,UNKNOWN,HIGH,HIGH,NOT_FOUND,QUALIFIED,NOT_FOUND,"The company is identified as tile‑related and focuses on the Russian market, indicating high product and market relevance and a high likelihood of being a buyer. No information is available on company type, size, or import activity, and decision‑maker details are missing.",Contact via the provided email to request more details and identify decision‑makers.,Tile Relevant Flag: YES indicates product relevance to tiles.; Russia Relevant Flag: YES indicates market relevance for Russia.; Website active and verified with matching tile and Russian relevance keywords.; Business Email available: info@faceimpex.com.,🟡 Research
MOSCOW,https://www.kourasanit.com/en/showrooms/moscow,SHOWROOM,Porcelain & Ceramic Tiles,kourasanitrussia@gmail.com,+7 985 078-84-88,NOT_FOUND,NOT_FOUND,NOT_FOUND,25.0,0.0,0.0,15.0,0.0,0.0,40,POTENTIAL,MEDIUM,UNKNOWN,HIGH,UNKNOWN,HIGH,UNKNOWN,NOT_FOUND,QUALIFIED,NOT_FOUND,"The company hosts a showroom page for Moscow on a tile‑focused website, confirming it is a SHOWROOM with strong tile and Russia relevance (product and market relevance HIGH). Presence of contact details suggests they may purchase tiles, giving a MEDIUM buyer probability, but there is no evidence of import activity or company size, so those fields remain UNKNOWN. No decision‑maker information was found.",Contact the provided email or phone to identify the appropriate buyer and explore tile procurement opportunities.,"Website https://www.kourasanit.com/en/showrooms/moscow is active and contains tile‑related and Russia‑related keywords; Page is listed under the ""showrooms"" section, indicating a showroom business model; Business email (kourasanitrussia@gmail.com) and phone number are provided",🟡 Research
Nt Ceramic,https://ntceramic.ru,MANUFACTURER,Porcelain & Ceramic Tiles,info@ntceramic.ru,+7 800 700-28-73,NOT_FOUND,NOT_FOUND,NOT_FOUND,25.0,5.0,0.0,15.0,10.0,0.0,55,POTENTIAL,LOW,LOW,HIGH,UNKNOWN,HIGH,HIGH,NOT_FOUND,QUALIFIED,NOT_FOUND,"Nt Ceramic operates an active website that identifies it as the official manufacturer of ceramic tiles in Russia, confirming its role as a MANUFACTURER. The tile and Russia relevance flags indicate HIGH product and market relevance, but as a manufacturer it is unlikely to be a buyer of imported tiles, resulting in LOW buyer and import probabilities. No size data is available, so company size is UNKNOWN. Recent website activity is evident, so recent activity is HIGH. No decision‑maker information was found.","Monitor for potential partnership or distribution opportunities, but do not prioritize as a direct buyer lead.","Website active (https://ntceramic.ru) with page title indicating ""Керамогранит NTСeramic - официальный сайт производителя"" (official manufacturer site); Tile Relevant Flag: YES; Russia Relevant Flag: YES; Business Email provided: info@ntceramic.ru; Business Phone provided: 78007002873.0; Decision Maker: NOT_FOUND",🟡 Research
Kerranova (Samarskiy Stroyfarfor),https://kerranova.ru,MANUFACTURER,Porcelain & Ceramic Tiles,info@kerranova.ru,+7 846 233-45-22,NOT_FOUND,NOT_FOUND,NOT_FOUND,25.0,0.0,0.0,15.0,0.0,0.0,40,POTENTIAL,UNKNOWN,UNKNOWN,HIGH,UNKNOWN,HIGH,UNKNOWN,NOT_FOUND,QUALIFIED,NOT_FOUND,"The website and page title indicate Kerranova is a tile manufacturer in Russia, making the company highly relevant to the product category and market, but there is no evidence of buying intent, import activity, size, recent updates, or decision‑maker contacts.",Monitor for possible partnership opportunities but do not prioritize as a direct buyer.,Page Title: Официальный сайт TM KERRANOVA: керамогранит от производителя; Tile Relevant Flag: YES; Russia Relevant Flag: YES; Business Email: info@kerranova.ru,🟡 Research
